hotel_name,nearby_places
Khách sạn The Passion Lux Airport,Bệnh Viện Đa Khoa Tâm Anh (678 m) | Sân vận động Quân Khu 7 (782 m) | Sân bay quốc tế Tân Sơn Nhất (1.73 km) | Bệnh Viện Đa Khoa Tâm Anh (678 m) | Chợ Phạm Văn Hai (686 m) | Sân vận động Quân Khu 7 (782 m) | Trung tâm Triển lãm và Hội chợ Tân Bình (823 m) | Unique Premium Outlets (848 m)
Vy Vy Airport Hotel,Bệnh Viện Đa Khoa Tâm Anh (470 m) | Sân vận động Quân Khu 7 (553 m) | Sân bay quốc tế Tân Sơn Nhất (1.71 km) | Bệnh Viện Đa Khoa Tâm Anh (470 m) | Sân vận động Quân Khu 7 (553 m) | Chợ Phạm Văn Hai (616 m) | Unique Premium Outlets (780 m)
Cozrum Homes - Selina Residence,Nhà thờ Đức Bà (2.10 km) | Bến tàu cao tốc Bạch Đằng (2.91 km) | Chợ Bến Thành / Chợ đêm Bến Thành (2.94 km) | Chùa Ngọc Hoàng (Phước Hải Tự) (741 m) | Trường Đại học Mở TP. Hồ Chí Minh - Cơ sở 4 (894 m) | Đền Trần Hưng Đạo (934 m) | Gem Center (1.01 km)
Khách sạn Meraki Boutique,Ga Metro Bến Thành (665 m) | Chợ Bến Thành / Chợ đêm Bến Thành (910 m) | Nhà thờ Đức Bà (1.64 km) | Bread & Butter Restaurant (149 m) | Phố Bùi Viện (235 m) | Công viên 23 tháng 9 (274 m) | Phố Tây ba lô (329 m)
Cozrum Homes The Gallery Residence,Bệnh Viện Đa Khoa Tâm Anh (2.34 km) | Sân bay quốc tế Tân Sơn Nhất (2.61 km) | Thảo cầm viên Sài Gòn (2.99 km) | Sushi Haru (914 m) | Đen Đá Coffee (914 m) | Bệnh viện Đa Khoa Hoàn Mỹ Sài Gòn (916 m) | Chewy Chewy Phan Xích Long (933 m)
YEN Living Binh Thanh,Landmark 81 (1.52 km) | Nhà thờ Đức Bà (2.21 km) | Bến tàu cao tốc Bạch Đằng (2.64 km) | Nhà sách Hải An (864 m) | Công viên Văn Thánh (927 m) | Gem Center (1.03 km) | Thảo cầm viên Sài Gòn (1.03 km)
The Passion Suites Hotel – Miễn Phí Ăn Sáng & Massage / Gội Đầu,Ga Metro Bến Thành (700 m) | Chợ Bến Thành / Chợ đêm Bến Thành (848 m) | Nhà thờ Đức Bà (1.27 km) | Song Ngư Seafood Restaurant (148 m) | Trung tâm Thương mại Zen Plaza (232 m) | Công viên 23 tháng 9 (336 m) | Công viên Tao Đàn (340 m)
K&T Hotel San Bay Tan Son Nhat,Sân bay quốc tế Tân Sơn Nhất (2.02 km) | Bệnh Viện Đa Khoa Tâm Anh (2.04 km) | Sân vận động Quân Khu 7 (2.19 km) | Trường THPT Nguyễn Chí Thanh (226 m) | Circle K Viet Nam (984 m) | Chợ hẻm phía sau Hoàng Hoa Thám (1.03 km) | Highlands Coffee (1.07 km) | Trung tâm Y tế quận Tân Bình (1.14 km)
Cozrum Homes - Sonata Residence,Trung tâm Hội chợ và Triển lãm Sài Gòn (1.13 km) | Trung Tâm Thương Mại SC Vivo City (2.93 km) | Siêu thị Go! (358 m) | Công An Quận 7 (532 m) | Trung tâm Hội chợ và Triển lãm Sài Gòn (1.13 km) | Trung tâm thương mại Saigon Paragon (1.14 km) | Bệnh viện FV (1.15 km)
Justay Pink Church,Chợ Bến Thành / Chợ đêm Bến Thành (2.45 km) | Ga Metro Bến Thành (2.53 km) | Bệnh Viện Đa Khoa Tâm Anh (2.62 km) | Hưng Phát USA (285 m) | Bệnh viện Quận 1 (307 m) | The Coffee House - Trần Quang Khải (328 m) | Chợ Tân Định (355 m)
